,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
1572,2012,KIA,FORTE,66,75,66,67
1573,2012,KIA,FORTE5,66,75,66,67
1574,2012,KIA,FORTE KOUP,66,75,66,67
1575,2012,KIA,OPTIMA,74,70,79,72
1576,2012,KIA,RIO,63,76,69,65
1577,2012,KIA,SEDONA,59,65,61,68
1578,2012,KIA,SORENTO,71,75,69,70
1579,2012,KIA,SOUL,68,72,71,76
1580,2012,KIA,SPORTAGE,74,81,79,73
1581,2012,LINCOLN,MKS,85,86,73,67
1582,2012,LINCOLN,MKX,75,71,69,72
1583,2012,LINCOLN,MKZ,82,92,60,68
1584,2012,MAZDA,CX-9,74,79,72,67
1585,2012,MAZDA,MAZDA5,62,80,56,64
1586,2012,MAZDA,MAZDA6,67,72,66,71
1587,2012,MERCEDES-BENZ,C-CLASS,83,83,73,72
1588,2012,MERCEDES-BENZ,E-CLASS,90,90,79,68
1589,2012,MERCEDES-BENZ,GL-CLASS,76,76,57,68
1590,2012,MERCEDES-BENZ,GLK-CLASS,80,86,64,70
1591,2012,MERCEDES-BENZ,M-CLASS,83,79,77,70
1592,2012,MINI,CLUBMAN,67,69,76,66
1593,2012,MINI,CONVERTIBLE,67,69,76,66
1594,2012,MINI,COUNTRYMAN,65,58,85,93
1595,2012,MINI,COUPE,67,69,76,66
1596,2012,MINI,HARDTOP,67,69,76,66
1597,2012,NISSAN,ALTIMA,77,87,68,71
1598,2012,NISSAN,FRONTIER CREW CAB,78,85,66,82
1599,2012,NISSAN,JUKE,64,69,76,69
1600,2012,NISSAN,LEAF,78,88,74,69
1601,2012,NISSAN,MAXIMA,80,81,71,69
1602,2012,NISSAN,PATHFINDER,70,80,62,71
1603,2012,NISSAN,ROGUE,70,82,67,69
1604,2012,NISSAN,SENTRA,65,73,68,68
1605,2012,NISSAN,VERSA,56,72,59,68
1606,2012,NISSAN,XTERRA,69,81,64,73
1607,2012,PORSCHE,CAYENNE,87,79,86,69
1608,2012,SCION,TC,74,81,74,67
1609,2012,SCION,XB,72,82,68,75
1610,2012,SCION,XD,71,92,65,69
