,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
441,2018,GMC,Yukon,85,80,85,88
442,2018,Honda,Accord Hybrid,82,81,89,86
443,2018,Honda,ACCORD,82,81,89,86
444,2018,Honda,CR-V,80,86,83,87
450,2018,Honda,Civic Type R,77,80,82,85
451,2018,Honda,Clarity Electric,71,73,72,79
452,2018,Honda,Clarity Plug-In Hybrid,71,73,72,79
453,2018,Honda,Fit,69,77,72,86
454,2018,Honda,HR-V,68,74,74,80
455,2018,Honda,Odyssey,74,73,77,82
456,2018,Honda,Pilot,77,83,77,77
457,2018,Honda,Ridgeline,79,81,81,86
458,2018,Hyundai,Elantra,76,84,77,80
459,2018,Hyundai,Elantra GT,76,84,77,80
460,2018,Hyundai,Ioniq Electric,69,74,72,77
461,2018,Hyundai,Ioniq Hybrid,69,74,72,77
462,2018,Hyundai,Ioniq Plug-In Hybrid,69,74,72,77
463,2018,Hyundai,Santa Fe,79,83,78,85
464,2018,Hyundai,Santa Fe Sport,79,83,78,85
465,2018,Hyundai,Sonata,77,81,75,83
466,2018,Hyundai,Sonata Hybrid,77,81,75,83
467,2018,Hyundai,Tucson,78,86,86,79
468,2018,INFINITI,Q50,85,82,77,77
469,2018,INFINITI,Q60,85,84,76,72
470,2018,INFINITI,QX30,72,62,71,74
471,2018,INFINITI,QX60,85,79,72,83
472,2018,Jaguar,F-PACE,72,67,68,75
473,2018,Jeep,Cherokee,75,79,81,86
474,2018,Jeep,Compass,70,73,83,79
475,2018,Jeep,Grand Cherokee,76,75,83,84
476,2018,Jeep,Wrangler,69,73,72,88
477,2018,Jeep,WRANGLER,69,73,72,88
478,2018,Jeep,WRANGLER UNLIMITED,69,73,72,88
479,2018,Jeep,Wrangler Unlimited,69,73,72,88
480,2018,Kia,Forte,75,84,75,79
481,2018,Kia,Forte5,75,84,75,79
482,2018,Kia,Niro,72,78,81,78
483,2018,Kia,Niro Plug-In Hybrid,72,78,81,78
484,2018,Kia,Optima,80,85,80,81
485,2018,Kia,Optima Hybrid,80,85,80,81
486,2018,Kia,Optima Plug-In Hybrid,80,85,80,81
487,2018,Kia,Rio,77,86,86,70
488,2018,Kia,RIO,77,86,86,70
489,2018,Kia,Sedona,72,77,72,76
490,2018,Kia,Sorento,80,85,82,78
491,2018,Kia,Soul,79,84,82,88
492,2018,Kia,Soul EV,79,84,82,88
493,2018,Kia,Sportage,78,84,87,79
494,2018,Kia,Stinger,81,79,90,74
495,2018,Land Rover,Range Rover Velar,65,51,82,73
496,2018,Lexus,ES,89,90,76,79
499,2018,Lexus,GX,88,86,72,83
500,2018,Lexus,IS,90,88,79,83
501,2018,Lexus,NX,87,88,75,77
502,2018,Lexus,RX,93,91,83,81
503,2018,Lincoln,Continental,90,88,86,72
504,2018,Lincoln,MKC,87,87,79,75
505,2018,Lincoln,MKX,87,84,77,80
506,2018,Lincoln,MKZ,83,82,73,75
507,2018,Lincoln,Navigator,93,82,94,81
508,2018,Lincoln,Navigator L,93,82,94,81
509,2018,Mazda,CX-3,69,76,75,78
510,2018,Mazda,CX-5,77,82,81,83
511,2018,Mazda,CX-9,77,82,79,74
514,2018,Mercedes-Benz,C-Class,89,85,84,86
515,2018,Mercedes-Benz,CLA,85,83,80,85
516,2018,Mercedes-Benz,E-Class,86,80,80,74
517,2018,Mercedes-Benz,GLA,81,80,76,75
518,2018,Mercedes-Benz,GLC,87,84,85,73
519,2018,Mercedes-Benz,GLE,86,81,77,77
520,2018,Mercedes-Benz,GLS,85,79,73,78
521,2018,Mercedes-Benz,S-Class,90,83,89,71
522,2018,MINI,Convertible,79,87,78,67
523,2018,MINI,Countryman,86,85,92,91
524,2018,Mitsubishi,Mirage,64,68,69,71
525,2018,Mitsubishi,Mirage G4,64,68,69,71
526,2018,Mitsubishi,Outlander,74,74,79,80
527,2018,Mitsubishi,Outlander PHEV,74,74,79,80
528,2018,Mitsubishi,Outlander Sport,74,74,79,80
529,2018,Nissan,Altima,84,88,84,81
530,2018,Nissan,Armada,80,79,77,77
531,2018,Nissan,FRONTIER CREW CAB,76,85,64,88
532,2018,Nissan,LEAF,75,83,76,71
533,2018,Nissan,Maxima,86,90,87,75
534,2018,Nissan,Murano,82,85,84,75
535,2018,Nissan,Pathfinder,80,82,80,78
536,2018,Nissan,Rogue,78,83,80,80
537,2018,Nissan,Rogue Sport,78,83,80,80
538,2018,Nissan,Sentra,76,80,78,79
539,2018,Nissan,VERSA,72,83,72,75
540,2018,Porsche,911,95,94,83,78
541,2018,Porsche,Cayenne,92,88,83,77
542,2018,Porsche,Macan,92,88,92,73
543,2018,Porsche,Panamera,87,74,79,77
544,2018,Subaru,Crosstrek,75,76,85,78
545,2018,Subaru,Forester,74,75,79,83
546,2018,Subaru,Impreza,72,73,76,80
547,2018,Subaru,Legacy,77,78,78,81
548,2018,Subaru,Outback,79,80,80,80
549,2018,Subaru,WRX,74,71,83,79
550,2018,Toyota,4Runner,84,88,79,91
551,2018,Toyota,Avalon,80,83,67,82
552,2018,Toyota,C-HR,77,79,85,81
553,2018,Toyota,Camry,79,79,78,84
554,2018,Toyota,Corolla,85,92,83,88
555,2018,Toyota,Corolla iM,85,92,83,88
556,2018,Toyota,Highlander,81,86,77,83
557,2018,Toyota,Prius,76,81,74,86
558,2018,Toyota,Prius c,68,78,67,83
559,2018,Toyota,RAV4,80,85,79,88
560,2018,Toyota,Sequoia,84,83,82,82
561,2018,Toyota,Sienna,78,78,75,85
562,2018,Toyota,TACOMA DOUBLE CAB,77,81,70,89
563,2018,Toyota,TACOMA REGULAR CAB,84,86,71,94
564,2018,Toyota,TUNDRA CREWMAX,84,86,71,94
565,2018,Toyota,Yaris,74,82,76,79
566,2018,Toyota,Yaris iA,74,82,76,79
567,2018,Volkswagen,Atlas,79,79,85,72
568,2018,Volkswagen,Beetle,75,80,76,81
569,2018,Volkswagen,BEETLE,75,80,76,81
570,2018,Volkswagen,Golf,76,75,87,78
571,2018,Volkswagen,Golf Alltrack,76,75,87,78
572,2018,Volkswagen,Golf GTI,76,75,87,78
573,2018,Volkswagen,Golf R,76,75,87,78
574,2018,Volkswagen,Golf SportWagen,76,75,87,78
575,2018,Volkswagen,Jetta,78,81,83,79
576,2018,Volkswagen,Passat,76,77,79,76
577,2018,Volkswagen,Tiguan,77,78,85,79
578,2018,Volkswagen,Tiguan Limited,77,78,85,79
579,2018,Volkswagen,e-Golf,76,75,87,78
582,2018,Volvo,S90,78,70,81,73
583,2018,Volvo,XC60,80,74,86,78
584,2018,Volvo,XC90,79,72,78,78
585,2017,Acura,ILX,72,72,62,77
586,2017,Acura,MDX,79,76,67,77
587,2017,Acura,RDX,80,81,67,76
588,2017,Acura,TLX,79,80,67,72
591,2017,Audi,A3 Sportback e-tron,80,78,80,74
