make,model,off_road,family,fun,luxury
Hyundai,Excel,False,False,False,False
Hyundai,Scoupe,False,False,False,False
Hyundai,Sonata,False,True,False,False
INFINITI,G,False,False,False,True
INFINITI,M,False,False,False,True
INFINITI,Q,False,False,False,True
Isuzu,Amigo,False,False,False,False
Isuzu,Impulse,False,False,False,False
Isuzu,Regular Cab,False,False,False,False
Isuzu,Rodeo,False,False,False,False
Isuzu,Spacecab,False,False,False,False
Isuzu,Stylus,False,False,False,False
Isuzu,Trooper,False,False,False,False
Jaguar,XJ,False,False,True,True
Jeep,Cherokee,True,False,False,False
Jeep,Comanche Regular Cab,False,False,False,False
Jeep,Wrangler,True,False,True,False
Land Rover,Range Rover,True,False,False,True
Lexus,ES,False,False,False,True
Lexus,LS,False,False,True,True
Lexus,SC,False,False,False,True
Lincoln,Continental,False,False,False,True
Lincoln,Mark VII,False,False,False,True
Lincoln,Town Car,False,False,False,True
MAZDA,323,False,False,False,False
MAZDA,626,False,False,False,False
MAZDA,929,False,False,False,False
MAZDA,B-Series Cab Plus,False,False,False,False
MAZDA,B-Series Regular Cab,False,False,False,False
MAZDA,MPV,False,False,False,False
MAZDA,MX-3,False,False,False,False
MAZDA,MX-5 Miata,False,False,True,False
MAZDA,MX-6,False,False,False,False
MAZDA,Navajo,False,False,False,False
MAZDA,Protege,False,False,False,False
Mercedes-Benz,190 E,False,False,False,True
Mercedes-Benz,300 CE,False,False,False,True
Mercedes-Benz,300 D,False,False,False,True
Mercedes-Benz,300 E,False,False,False,True
Mercedes-Benz,300 SD,False,False,False,True
Mercedes-Benz,300 SE,False,False,False,True
Mercedes-Benz,300 SL,False,False,False,True
Mercedes-Benz,300 TE,False,False,False,True
Mercedes-Benz,400 E,False,False,False,True
Mercedes-Benz,400 SE,False,False,False,True
Mercedes-Benz,500 E,False,False,False,True
Mercedes-Benz,500 SEL,False,False,False,True
Mercedes-Benz,500 SL,False,False,False,True
Mercedes-Benz,600 SEL,False,False,False,True
Mercury,Capri,False,False,False,False
Mercury,Cougar,False,False,False,False
Mercury,Grand Marquis,False,False,False,False
Mercury,Sable,False,False,False,False
Mercury,Topaz,False,False,False,False
Mercury,Tracer,False,False,False,False
Mitsubishi,3000GT,False,False,False,False
Mitsubishi,Diamante,False,False,False,False
Mitsubishi,Eclipse,False,False,False,False
Mitsubishi,Expo,False,False,False,False
Mitsubishi,Galant,False,False,False,False
Mitsubishi,Mighty Max Macro Cab,False,False,False,False
Mitsubishi,Mighty Max Regular Cab,False,False,False,False
Mitsubishi,Mirage,False,False,False,False
Mitsubishi,Montero,False,False,False,False
Mitsubishi,Precis,False,False,False,False
Nissan,240SX,False,False,False,False
Nissan,300ZX,False,False,False,False
Nissan,King Cab,False,False,False,False
Nissan,Maxima,False,False,True,False
Nissan,NX,False,False,False,False
Nissan,Pathfinder,True,True,True,False
Nissan,Regular Cab,False,False,False,False
Nissan,Sentra,False,False,True,False
Nissan,Stanza,False,False,False,False
Oldsmobile,88,False,False,False,True
Oldsmobile,98,False,False,False,True
Oldsmobile,Achieva,False,False,False,True
Oldsmobile,Bravada,False,False,False,True
Oldsmobile,Custom Cruiser,False,False,False,True
Oldsmobile,Cutlass Ciera,False,False,False,True
Oldsmobile,Cutlass Supreme,False,False,False,True
Oldsmobile,Silhouette,False,False,False,True
Oldsmobile,Toronado,False,False,False,True
Plymouth,Acclaim,False,False,False,False
Plymouth,Colt,False,False,False,False
Plymouth,Colt Vista,False,False,False,False
Plymouth,Grand Voyager,False,False,False,False
Plymouth,Laser,False,False,False,False
Plymouth,Sundance,False,False,False,False
Plymouth,Voyager,False,False,False,False
Pontiac,Bonneville,False,False,False,False
Pontiac,Firebird,False,False,False,False
Pontiac,Grand Am,False,False,False,False
Pontiac,Grand Prix,False,False,False,False
Pontiac,LeMans,False,False,False,False
Pontiac,Sunbird,False,False,False,False
Pontiac,Trans Sport,False,False,False,False
Porsche,911,False,False,True,True
Porsche,968,False,False,False,True
Saab,900,False,False,False,True
Saab,9000,False,False,False,True
Saturn,S-Series,False,False,False,False
Subaru,Justy,False,False,False,False
Subaru,Legacy,False,True,True,False
Subaru,Loyale,False,False,False,False
Subaru,SVX,False,False,False,False
Suzuki,Samurai,False,False,False,False
Suzuki,Sidekick,False,False,False,False
Suzuki,Swift,False,False,False,False
Toyota,4Runner,True,True,False,False
Toyota,Camry,False,True,False,False
Toyota,Celica,False,False,False,False
Toyota,Corolla,False,True,False,False
Toyota,Cressida,False,False,False,False
Toyota,Land Cruiser,True,False,True,False
Toyota,MR2,False,False,False,False
Toyota,Paseo,False,False,False,False
Toyota,Previa,False,False,False,False
Toyota,Regular Cab,False,False,False,False
Toyota,Supra,False,False,False,False
Toyota,Tercel,False,False,False,False
Toyota,Xtra Cab,False,False,False,False
Volkswagen,Cabriolet,False,False,False,False
Volkswagen,Corrado,False,False,False,False
Volkswagen,Fox,False,False,False,False
Volkswagen,Golf,False,False,True,False
Volkswagen,GTI,False,False,False,False
Volkswagen,Jetta,False,True,True,False
Volkswagen,Passat,False,True,True,False
Volvo,240,False,False,False,True
Volvo,740,False,False,False,True
Volvo,940,False,False,False,True
