buffalo,42.768413,-78.887094
catskill,42.223002,-73.90452
chautauqua,42.187468,-79.450523
elmira,38.35011,-121.90799
ithaca,42.460721,-76.505435
glensfalls,43.312104,-73.64825
albany,42.71815,-89.44315
ithaca,42.460721,-76.505435
longisland,37.041512,-79.1278
newyork,40.706925,-74.008154
oneonta,33.944897,-86.45813
plattsburgh,44.683468,-73.44639
potsdam,39.963492,-84.414484
rochester,43.988708,-92.42937
syracuse,43.02143,-76.197701
saintmarys,41.308451,-93.73157
utica,43.114519,-75.22284
watertown,41.608196,-73.12099
asheville,35.635844,-82.55992
boone,36.21277,-81.66255
charlotte,35.26002,-80.804151
wilmington,39.745377,-75.58251
fayetteville,35.99403,-94.219977
greensboro,36.080707,-80.0244
hickory,40.290375,-80.31845
jacksonville,34.879419,-92.12244
killdevilhills,36.022242,-75.67686
raleigh,35.88224,-78.413371
wilmington,39.745377,-75.58251
winstonsalem,36.141395,-80.3137
bismarck,46.8887,-100.681855
fargo,46.934596,-97.229718
grandforks,47.920679,-97.07228
fargo,46.934596,-97.229718
akron,41.067506,-81.484686
ashtabula,41.871212,-80.79178
athens,39.982768,-89.68326
chillicothe,34.261752,-99.5202
cincinnati,39.166759,-84.53822
cleveland,35.219532,-84.86489
columbus,33.484147,-88.283998
dayton,39.740509,-84.178939
lima,40.668448,-84.1331
mansfield,41.811139,-77.06939
sandusky,41.49181,-82.647824
toledo,41.703899,-83.605
tuscarawas,40.397916,-81.40527
youngstown,41.069158,-80.69134
zanesville,40.916397,-85.28232
lawton,34.621373,-98.4001
enid,36.379072,-97.782595
oklahomacity,35.551409,-97.407537
stillwater,36.149394,-97.05784
tulsa,36.139826,-96.029725
bend,44.020483,-121.30891
corvallis,46.313969,-114.04819
hermiston,45.846442,-119.28423
eugene,43.863845,-122.99879
klamath,41.51823,-124.03075
medford,44.172277,-93.23924
coosbay,43.357357,-124.21086
portland,45.49894,-122.68781
roseburg,43.227287,-123.35138
salem,37.282124,-88.24568
altoona,44.80416,-91.43963
hamilton,40.298366,-107.51756
erie,42.182748,-80.064915
harrisburg,40.261516,-76.880884
lancaster,42.847591,-90.70167000000001
allentown,40.601996,-75.52104
meadville,41.659552,-80.157553
philadelphia,40.011562,-75.1839
pittsburgh,40.434436,-80.024817
hamilton,40.298366,-107.51756
reading,40.348092,-75.93577
scranton,41.403529,-75.706485
universitypark,40.806956,-77.86281
williamsport,41.33275,-77.023601
york,39.976898,-76.67785
providence,41.871766,-71.558518
charleston,38.296818,-81.554655
columbia,38.953238,-92.320783
florence,34.888897,-87.60731
greenville,40.997751,-73.820321
hiltonheadisland,32.390605,-80.661027
myrtlebeach,33.627763,-78.98126
brookings,44.369696,-96.790705
aberdeen,39.508177,-76.18066
rapidcity,44.085288,-103.21335
siouxfalls,43.537075,-96.69527
pierre,44.425356,-100.29145
chattanooga,35.017818,-85.206426
clarksville,36.506407,-87.2572
cookeville,36.141824,-85.454779
jackson,32.300996,-90.18859
knoxville,35.935134,-83.750258
memphis,35.201738,-89.971538
nashville,31.205388,-83.246084
kingsport,36.530517,-82.529816
atlanta,33.926753,-84.33877
sanjuan,18.450907,-66.04256
kingshill,17.734211,-64.734694
abilene,38.94112,-97.21973
amarillo,35.401475,-101.895089
austin,30.468583,-97.843336
beaumont,30.065029,-94.18031
brownsville,39.685481,-85.02454
collegestation,30.571905,-96.29882
corpuschristi,27.777,-97.463213
dallas,32.77003,-96.69
nacogdoches,31.604573,-94.664127
delrio,29.763171,-101.230032
elpaso,31.694842,-106.299987
galveston,29.221289,-94.94455
houston,29.612816,-95.158517
killeen,31.036287,-97.492017
laredo,27.363738,-99.481919
lubbock,33.610018,-101.821292
mcallen,26.256709999999998,-98.198929
odessa,31.86577,-102.45367
sanangelo,31.474132,-100.5198
sanantonio,29.437532,-98.461582
sanmarcos,33.122029,-117.15605
bigbend,42.886982,-88.20955
sherman,34.359456,-88.83873
easttexas,40.538843,-75.568502
victoria,38.861194,-99.15047
waco,37.724497,-84.11389
wichitafalls,33.897073,-98.459792
logan,37.833826,-82.00011
ogden,40.149486,-87.96347
provo,40.176975,-111.536036
saltlakecity,40.668068,-111.908297
stgeorge,39.199103,-96.43889
burlington,31.002164,-97.0358
charlottesville,38.00847,-78.47803
danville,40.133786,-87.62898
fredericksburg,38.184716,-77.662559
norfolk,36.931166,-76.23972
harrisonburg,38.426786,-78.88153
lynchburg,37.390209,-79.16132
blacksburg,37.179115,-80.351482
richmond,44.090471,-69.803936
roanoke,37.236753,-79.93549
bristol,36.504158,-82.26446
winchester,39.179076,-78.16653
bellingham,42.075122,-71.47953
kennewick,46.216706,-119.160173
moseslake,47.133606,-119.28455
olympia,47.071484,-122.97702
pullman,46.838747,-117.644337
seattle,47.432251,-121.803388
mountvernon,40.924195,-73.82614
spokane,47.653568,-117.431742
wenatchee,47.425497,-120.32881
yakima,46.637538,-120.794978
charleston,38.296818,-81.554655
martinsburg,40.27453,-82.34436
huntington,38.413384,-82.277401
morgantown,39.628475,-79.98796
wheeling,39.808311,-93.37642
parkersburg,42.576102,-92.78183
beckley,37.748935,-81.224458
wheeling,39.808311,-93.37642
appleton,45.844123,-121.29141
eauclaire,44.726626,-91.285931
greenbay,44.460064,-88.007382
janesville,39.374287,-88.244487
racine,36.898694,-94.52788
lacrosse,46.792982,-117.91313
madison,38.126728,-96.16635
milwaukee,43.086711,-87.9749
cornucopia,46.802909,-91.10944
shawano,44.779241,-88.60636
wausau,44.900936,-89.7701
cheyenne,41.327351,-104.666365
